std_train_score,"[ 0.00071764  0.0009017   0.00114956  0.00109201  0.00126713  0.00906171
  0.00938919  0.0094842 ]"
rank_test_score,[4 2 1 3 5 6 7 8]
mean_score_time,"[ 0.02587167  0.01552296  0.01985558  0.01673834  0.02002533  0.04860806
  0.02076062  0.01517733]"
std_test_score,"[ 0.00192996  0.00183436  0.00193052  0.00193882  0.00136417  0.00701136
  0.00475978  0.00967632]"
split1_train_score,"[ 0.77954582  0.78047366  0.78035768  0.78021851  0.77370045  0.68993992
  0.66140892  0.66579295]"
split0_test_score,"[ 0.77412321  0.77505103  0.77551494  0.77523659  0.76962331  0.70523288
  0.67132121  0.66176471]"
mean_test_score,"[ 0.77628466  0.77671765  0.77673311  0.77653208  0.77132077  0.69533147
  0.67003263  0.66949139]"
param_C,[0.0001 0.001 0.01 0.1 1 10 100 1000]
split2_train_score,"[ 0.78122101  0.78268232  0.78309983  0.78279829  0.77646595  0.69690573
  0.68129523  0.68709408]"
split0_train_score,"[ 0.7808448   0.78156387  0.78228294  0.78212057  0.77386282  0.71167451
  0.68135743  0.66841409]"
params,"({'C': 0.0001}, {'C': 0.001}, {'C': 0.01}, {'C': 0.1}, {'C': 1}, {'C': 10}, {'C': 100}, {'C': 1000})"
std_fit_time,"[ 1.4956613   9.1071551   0.64195274  3.17079626  4.3434254   2.04187857
  4.37094262  1.39339927]"
std_score_time,"[ 0.01639803  0.00111164  0.00637913  0.0022565   0.00936964  0.01504956
  0.00287397  0.00036082]"
split2_test_score,"[ 0.77592206  0.77582927  0.77522617  0.77508699  0.77137555  0.69083739
  0.67511018  0.68313616]"
mean_train_score,"[ 0.78053721  0.78157328  0.78191349  0.78171246  0.77467641  0.69950672
  0.67468719  0.67376704]"
mean_fit_time,"[  5.08949463  30.41537166  61.91446304  68.53044232  67.12200133
  69.43595934  68.57742508  71.50808295]"
split1_test_score,"[ 0.77880868  0.77927259  0.77945816  0.77927259  0.77296344  0.68992392
  0.66366673  0.66357395]"
